Vx,Vy,yaw_rate,Frx,Fry,Ffy
-0.5358275175094604,0.064188577234745,-0.1097908616065979,-5316.47314453125,4738.548828125,-4584.84716796875
7.102695465087891,-0.0273569449782371,-0.1053371131420135,43.82484436035156,-629.0582885742188,-514.301025390625
7.290913105010986,-0.0345053598284721,-0.1022543758153915,210.66744995117188,-667.7549438476562,-552.6591186523438
7.445746898651123,-0.0215967446565628,-0.1072656586766243,1260.5823974609375,-463.8892211914063,-505.54107666015625
7.464195251464844,-0.014066781848669,-0.1061373874545097,945.5704345703124,-395.3966674804688,-419.0664367675781
7.548511981964111,-0.0359631739556789,-0.0895180478692054,-23.71710205078125,-683.381591796875,-509.9874267578125
7.712366580963135,-0.0389084890484809,-0.0784325525164604,-3.0914268493652344,-803.4931030273438,-444.7460021972656
7.86550235748291,-0.0248393788933753,-0.0699827522039413,697.0065307617188,-417.834716796875,-336.5135803222656
7.944431304931641,-0.0138946883380413,-0.0700523480772972,346.1706237792969,-348.95819091796875,-282.2145690917969
8.037784576416016,-0.0338563881814479,-0.0570791997015476,-6.7787933349609375,-595.8252563476562,-342.9773864746094
8.149324417114258,-0.0460516512393951,-0.0483238771557807,85.78475189208984,-765.1064453125,-364.1471862792969
8.317214965820312,-0.0368427112698555,-0.0474063642323017,526.5938110351562,-549.6217041015625,-334.556640625
8.427927017211914,-0.0240863785147666,-0.046003770083189,529.717529296875,-498.7858276367188,-229.06402587890625
8.480411529541016,-0.0240072663873434,-0.0382413789629936,640.307861328125,-666.4552612304688,-184.2882232666016
8.551690101623535,-0.0160857941955328,-0.0381472706794738,672.6524047851562,-590.2156982421875,-94.09313201904295
8.668251991271973,-0.0180776081979274,-0.0246289912611246,364.888671875,-252.5748443603516,12.232601165771484
8.798187255859375,-0.0180264431983232,-0.0153122590854763,357.93719482421875,-144.4359130859375,115.955078125
8.878629684448242,-0.0158281698822975,-0.0115685360506176,759.7499389648438,-142.56155395507812,168.8995819091797
8.900251388549805,-0.0045902617275714,-0.0085016209632158,397.2709655761719,-128.23080444335938,307.2391052246094
8.982100486755371,0.0129035068675875,-0.0035357754677534,-60.55533599853516,-110.10847473144533,510.28759765625
9.096481323242188,0.0236793905496597,-0.0029686484485864,-56.11619567871094,-42.9366455078125,595.623779296875
9.18153190612793,-0.0057770460844039,0.021209493279457,275.813232421875,338.5049133300781,559.8733520507812
9.223918914794922,-0.0111245848238468,0.0395074598491191,112.31591796875,336.6861572265625,771.5809326171875
9.274474143981934,0.0221923887729644,0.0307824742048978,-60.61163330078125,729.2552490234375,961.1520385742188
9.36551570892334,0.0310719013214111,0.0298569034785032,307.1896057128906,824.0736694335938,1049.779541015625
9.415166854858398,0.0079363286495208,0.0417415015399456,426.0409851074219,396.090576171875,892.64501953125
9.439265251159668,0.0211787186563015,0.0431409664452075,273.5874938964844,471.80120849609375,1011.5169067382812
9.448260307312012,0.0393318384885787,0.0473627820611,58.47554016113281,1115.7529296875,1267.816162109375
9.477614402770996,0.0634227395057678,0.0659697279334068,138.1728515625,984.40673828125,1805.138671875
9.50869369506836,0.0378588438034057,0.0813256055116653,125.35752868652344,511.9123840332031,1742.001708984375
9.511929512023926,0.0440341085195541,0.0816432684659957,20.8131103515625,530.0868530273438,1736.8773193359375
9.51710033416748,0.0516316518187522,0.0898916870355606,-59.97645568847656,1090.08837890625,1928.18408203125
9.514692306518556,0.0856234654784202,0.0996149629354476,-77.3267593383789,1290.96044921875,2441.21875
9.432287216186523,0.0417697727680206,0.1017437055706977,6.497016906738281,865.86572265625,1916.70751953125
9.315752983093262,0.0156860426068305,0.1070986166596412,8.065681457519531,620.9496459960938,1661.346923828125
9.390503883361816,0.0417965501546859,0.1015294045209884,-88.00006103515625,965.8179931640624,1849.1787109375
9.403955459594728,0.0478923246264457,0.1008149310946464,-88.33269500732422,1209.21728515625,1849.106201171875
9.33018970489502,-0.0194630175828933,0.1208110898733139,-9.599586486816406,290.45220947265625,1346.0093994140625
9.192302703857422,-0.0282669924199581,0.1329735815525055,13.156021118164062,-12.890472412109377,1399.014892578125
9.111279487609863,0.0158343985676765,0.1057727634906768,-80.44811248779297,817.5784912109375,1441.7613525390625
9.152838706970217,0.0372793227434158,0.0934516638517379,-82.94422149658203,1317.0205078125,1435.6383056640625
9.13743782043457,-0.0206073857843875,0.1122321933507919,-31.732540130615234,701.4197998046875,1019.8402709960938
9.045809745788574,-0.0486905127763748,0.1384031027555465,49.40315246582031,3.326141357421875,1067.775146484375
8.931591033935547,-0.0093994811177253,0.1196208819746971,-53.88774871826172,625.1071166992188,1138.203857421875
8.895729064941406,-0.0071400105953216,0.1080584377050399,13.72931671142578,1111.404296875,963.273681640625
8.883417129516602,-0.061265043914318,0.1367347985506057,20.507797241210938,293.1101989746094,754.7412109375
8.834070205688477,-0.0709571465849876,0.1479122042655944,9.51262664794922,282.34228515625,760.2581176757812
8.757570266723633,-0.0238145887851715,0.125850424170494,-39.81404495239258,993.7767333984376,843.652099609375
8.71205997467041,0.01393324136734,0.1031584441661834,-4.602775573730469,1693.208251953125,895.8261108398438
8.662436485290527,-0.0184183232486248,0.1172411441802978,231.7781982421875,1188.1275634765625,748.567138671875
8.60424518585205,-0.0361791253089904,0.1272517889738083,179.64688110351562,873.2647705078125,693.9517822265625
8.563545227050781,0.009538285434246,0.1037920862436294,-32.53775787353516,1365.233642578125,773.5995483398438
8.52988338470459,0.0784157291054725,0.0698407962918281,-51.49886703491211,2722.9091796875,967.3851318359376
